date;value
2003-1;279.08
2003-2;285.0
2003-3;293.25
2003-4;349.86
2003-5;298.95
2003-6;290.7
2003-7;252.79
2003-8;300.9
2003-9;355.47
2003-10;291.16
2003-11;309.15
2003-12;611.9
2003-12;300.9
2004-1;309.9
2004-2;300.9
2004-3;320.9
2004-4;314.3
2004-5;306.8
2004-6;315.54
2004-7;317.68
2004-8;343.8
2004-9;346.55
2004-10;341.05
2004-11;341.05
2004-12;499.2
2005-1;332.8
2005-2;332.8
2005-3;332.8
2005-4;339.2
2005-5;339.2
2005-6;339.2
2005-7;351.92
2005-8;351.92
2005-9;351.92
2005-10;351.92
2005-11;351.92
2005-12;351.92
2006-1;358.52
2006-2;355.1
2006-3;355.1
2006-4;356.58
2006-5;361.8
2006-6;312.47
2006-7;383.4
2006-8;385.51
2006-9;352.51
2006-10;383.4
2006-11;383.4
2006-12;383.4
2007-1;383.4
2007-2;383.4
2007-3;383.4
2007-4;390.5
2007-5;390.5
2007-6;390.5
2007-7;430.1
2007-8;430.1
2007-9;430.1
2007-10;430.1
2007-11;430.1
2007-12;821.1
2008-1;430.1
2008-2;430.1
2008-3;430.1
2008-4;437.92
2008-5;446.92
2008-6;127.69
2008-7;591.4
2008-8;28.16
2009-12;205.0
2010-1;0.0
2010-2;210.0
2010-3;210.0
2010-4;210.0
2010-5;210.0
2010-6;210.0
2010-7;210.0
2010-8;0.0
2010-9;115.5
2010-10;0.0
2010-11;0.0
2010-12;0.0
2011-1;0.0
2011-2;149.39
2011-3;271.62
2011-4;271.62
2011-5;271.62
2011-6;172.85
2011-7;1154.88
2011-8;1276.45
2011-9;1276.45
2011-10;1276.45
2011-11;931.03
2011-11;58.35
2011-11;175.07
2011-12;1283.1
2012-1;1283.8
2012-2;1284.31
2012-2;30.62
2012-3;1436.93
2012-4;1283.76
2012-5;1283.8
2012-6;1283.8
2012-7;492.92
2012-7;583.52
2012-8;1549.18
2012-9;1549.18
2012-10;1751.58
2012-11;1751.58
2012-12;2000.0
2013-1;1752.29
2013-2;1672.76
2013-3;1751.58
2013-4;1751.58
2013-5;1751.58
2013-6;1759.38
2013-7;1761.96
2013-8;1761.96
2013-9;1761.96
2013-10;2200.0
2013-11;2200.0
2013-12;2200.0
2014-1;2200.93
2014-2;2200.92
2014-3;2200.92
2014-4;2169.47
2014-5;2200.91
2014-6;2213.89
2014-7;2213.89
2014-8;2213.88
2014-9;2213.88
2014-10;2213.89
2014-11;2213.89
2014-12;2400.0
2014-12;500.02
2015-1;2600.0
2015-2;2600.0
2015-3;2600.0
2015-4;2600.0
2015-5;2600.0
2015-6;2600.0
2015-7;2600.0
2015-8;2600.0
2015-9;2600.0
2015-10;2600.0
2015-11;2600.0
2015-12;2600.0
2016-1;2600.0
2016-2;2600.0
2016-3;2177.25
2016-4;2600.0
2016-5;2600.0
2016-6;2600.0
2016-7;2600.0
2016-8;2600.0
2016-9;2600.0
2016-10;2600.0
2016-11;2600.0
2016-12;2600.0
2016-3;701.05
2017-1;2600.0
2017-2;2600.0
2017-3;2600.0
2017-4;2600.0
2017-5;2600.0
2017-6;2600.0
2017-7;2600.0
2017-8;2600.0
2017-9;2600.0
2017-10;2600.0
2017-11;2600.0
2017-12;2600.0
2018-1;2600.0
2018-2;2600.0
2018-3;2600.0
2018-4;2600.0
2018-5;2600.0
2018-6;2600.0
2018-7;2600.0
2018-8;2600.0
2018-9;2600.0
2018-10;2600.0
2018-11;2600.0
2018-12;2600.0
2019-1;3000.0
2019-2;3000.0
2019-3;3000.0
2019-4;3000.0
2019-5;3000.0
2019-6;3000.0
2019-7;3000.0
2019-8;3000.0
2019-9;3000.0
2019-10;2199.64
2019-11;3000.0
2019-12;3000.0
2019-10;1460.76
2020-1;3000.0
2020-2;3000.0
2020-3;3000.0
2020-4;3000.0
2020-5;3000.0
2020-6;3000.0
2020-7;3000.0
2020-8;3000.0
2020-9;3000.0
2020-10;3000.0
2020-11;3000.0
2020-12;3000.0
2021-1;3000.0
2021-2;3000.0
2021-3;3000.0
2021-4;3000.0
2021-5;3000.0
2021-6;3000.0
2021-7;3000.0
2021-8;3000.0
2021-9;3000.0
2021-10;3000.0
2021-11;3000.0
2021-12;3000.0
2022-1;3000.0
2022-2;3000.0
2022-3;3000.0
2022-4;3400.0
2022-5;3400.0
2022-6;3400.0
2022-7;3400.0
2022-8;3400.0
2022-9;3400.0
2022-10;3400.0
2022-11;3400.0
2022-12;3400.0
2022-1;574.47
2023-1;3400.0
2023-2;3400.0
2023-3;3400.0
2023-4;3400.0
2023-5;3400.0
2023-6;3400.0
2023-7;3400.0
2023-8;3400.0
2023-9;3400.0
2023-10;3400.0
2023-11;3400.0
2023-12;3400.0
2024-1;3750.0
2024-2;3750.0
2024-3;3750.0
2024-4;3750.0
2024-5;3750.0
2024-6;3750.0
2024-7;3750.0
2024-8;3750.0
2024-9;3750.0
2024-10;3750.0
2024-11;3750.0
2024-12;3750.0
2025-1;3750.0
2025-2;3750.0
2025-3;3750.0
2025-4;4130.0
2025-5;4130.0
2025-6;4130.0
2025-7;4130.0
