date,value
2011-01,1020
2012-01,1214
2013-01,1379
2014-01,1735
2015-01,2392
2016-01,2699
2017-01,2836
2018-01,3155
2019-01,3400
2020-01,3981
2021-02,3920
2021-08,3945
2022-04,4327
2023-01,4800
2024-01,4838
2025-01,4845
2025-03,4845
2025-04,5096
2025-10,5096


fix
date,value
2011-01,1020
2012-01,1214
2013-01,1379
2014-01,1735
2015-01,2392
2016-01,2699
2017-01,2836
2018-01,3155
2019-01,3400
2020-01,3981
2021-02,3920
2021-08,3945
2022-04,4327
2023-01,4800
2024-01,4838
2025-03,5096
2025-04,5096
2025-05,5096
2025-06,5096
2025-07,5096
2025-08,5096
2025-09,5096
