date,value
2015-01,888.8
2015-02,901.77
2015-03,910.1
2015-04,914.33
2015-05,914.15
2015-06,911.7
2015-07,908.95
2015-08,908.81
2015-09,912.94
2015-10,921.89
2015-11,935.53
2015-12,951.65
2016-01,968.18
2016-02,982.3
2016-03,991.61
2016-04,996.21
2016-05,996.02
2016-06,993.35
2016-07,990.36
2016-08,990.2
2016-09,994.7
2016-10,1004.46
2016-11,1019.32
2016-12,1036.88
2017-01,1054.89
2017-02,1070.28
2017-03,1080.16
2017-04,1085.18
2017-05,1084.97
2017-06,1082.06
2017-07,1078.8
2017-08,1078.63
2017-09,1083.53
2017-10,1094.16
2017-11,1110.35
2017-12,1129.48
2018-01,1149.09
2018-02,1165.86
2018-03,1176.63
2018-04,1182.09
2018-05,1181.87
2018-06,1178.7
2018-07,1175.15
2018-08,1174.96
2018-09,1180.3
2018-10,1191.88
2018-11,1209.51
2018-12,1230.35
2019-01,1251.71
2019-02,1269.98
2019-03,1281.71
2019-04,1287.66
2019-05,1287.42
2019-06,1283.96
2019-07,1280.09
2019-08,1279.89
2019-09,1285.71
2019-10,1298.32
2019-11,1317.53
2019-12,1340.23
2020-01,1363.5
2020-02,1390.86
2020-03,1411.12
2020-04,1425.32
2020-05,1432.49
2020-06,1436.36
2020-07,1439.5
2020-08,1447.04
2020-09,1461.46
2020-10,1483.5
2020-11,1513.57
2020-12,1547.69
2021-01,1583.06
2021-02,1614.82
2021-03,1637.67
2021-04,1654.16
2021-05,1662.48
2021-06,1666.96
2021-07,1670.61
2021-08,1679.36
2021-09,1696.1
2021-10,1721.68
2021-11,1756.58
2021-12,1796.17
2022-01,1837.21
2022-02,1874.08
2022-03,1900.6
2022-04,1919.73
2022-05,1929.39
2022-06,1934.59
2022-07,1938.83
2022-08,1948.99
2022-09,1968.41
2022-10,1998.09
2022-11,2038.59
2022-12,2084.54
2023-01,2132.18
2023-02,2174.96
2023-03,2205.74
2023-04,2227.95
2023-05,2239.15
2023-06,2245.19
2023-07,2250.11
2023-08,2261.89
2023-09,2284.43
2023-10,2318.88
2023-11,2365.89
2023-12,2419.21
2024-01,2474.5
2024-02,2503.54
2024-03,2520.6
2024-04,2525.19
2024-05,2517.83
2024-06,2504.01
2024-07,2489.66
2024-08,2482.27
2024-09,2486.53
2024-10,2504.08
2024-11,2533.98
2024-12,2570.62
2025-01,2607.9
2025-02,2638.51
2025-03,2656.1
2025-04,2660.93
2025-05,2653.18
2025-06,2638.62
2025-07,2623.5
