date,value
1996-12,7.28
1997-01,10.84
1997-02,37.12
1997-03,40.0
1997-04,39.84
1997-05,40.59
1997-06,41.17
1997-07,42.19
1997-08,44.51
1997-09,46.22
1997-10,46.59
1997-11,47.04
1997-12,47.15
1998-01,48.15
1998-02,48.76
1998-03,48.83
1998-04,49.05
1998-05,48.23
1998-06,46.53
1998-07,46.19
1998-08,46.34
1998-09,47.83
1998-10,47.98
1998-11,47.72
1998-12,47.92
1999-01,49.05
1999-02,48.73
1999-03,48.25
1999-04,47.95
1999-05,47.52
1999-06,47.09
1999-07,48.68
1999-08,49.04
1999-09,49.78
1999-10,50.35
1999-11,50.58
1999-12,51.26
2000-01,52.49
2000-02,53.07
2000-03,52.9
2000-04,52.36
2000-05,52.43
2000-06,52.56
2000-07,52.88
2000-08,54.45
2000-09,55.68
2000-10,56.35
2000-11,56.78
2000-12,57.03
2001-01,57.38
2001-02,57.57
2001-03,57.6
2001-04,57.5
2001-05,57.53
2001-06,57.48
2001-07,57.37
2001-08,57.55
2001-09,58.28
2001-10,59.28
2001-11,59.41
2001-12,59.78
2002-01,61.39
2002-02,62.39
2002-03,62.87
2002-04,62.8
2002-05,61.5
2002-06,60.46
2002-07,60.53
2002-08,60.13
2002-09,60.6
2002-10,61.2
2002-11,61.3
2002-12,62.06
2003-01,62.46
2003-02,62.54
2003-03,62.78
2003-04,62.96
2003-05,62.57
2003-06,61.22
2003-07,61.76
2003-08,62.22
2003-09,62.81
2003-10,63.25
2003-11,64.41
2003-12,65.56
2004-01,66.46
2004-02,66.69
2004-03,66.64
2004-04,66.83
2004-05,66.85
2004-06,65.67
2004-07,66.46
2004-08,66.17
2004-09,66.79
2004-10,66.9
2004-11,67.32
2004-12,68.16
2005-01,68.6
2005-02,69.2
2005-03,69.54
2005-04,70.35
2005-05,70.23
2005-06,69.94
2005-07,70.47
2005-08,70.95
2005-09,71.79
2005-10,72.35
2005-11,72.68
2005-12,73.2
2006-01,73.81
2006-02,75.7
2006-03,75.87
2006-04,76.35
2006-05,76.52
2006-06,75.78
2006-07,75.95
2006-08,75.92
2006-09,75.63
2006-10,76.14
2006-11,76.95
2006-12,77.66
2007-01,78.79
2007-02,79.2
2007-03,79.23
2007-04,79.7
2007-05,79.96
2007-06,79.79
2007-07,81.15
2007-08,82.96
2007-09,83.96
2007-10,84.24
2007-11,85.74
2007-12,86.64
2008-01,87.98
2008-02,88.9
2008-03,89.71
2008-04,90.37
2008-05,91.14
2008-06,91.55
2008-07,92.86
2008-08,92.76
2008-09,93.57
2008-10,93.67
2008-11,93.26
2008-12,92.87
2009-01,93.28
2009-02,93.65
2009-03,93.33
2009-04,93.83
2009-05,93.83
2009-06,93.94
2009-07,93.81
2009-08,93.93
2009-09,93.76
2009-10,93.92
2009-11,94.09
2009-12,94.39
2010-01,94.95
2010-02,95.22
2010-03,95.57
2010-04,96.68
2010-05,96.69
2010-06,96.27
2010-07,96.77
2010-08,96.93
2010-09,97.14
2010-10,97.32
2010-11,97.84
2010-12,98.59
2011-01,99.04
2011-02,99.58
2011-03,99.98
2011-04,99.89
2011-05,99.99
2011-06,99.68
2011-07,100.05
2011-08,99.91
2011-09,99.93
2011-10,100.26
2011-11,100.34
2011-12,100.6
2012-01,100.96
2012-02,101.56
2012-03,101.7
2012-04,101.94
2012-05,101.82
2012-06,101.3
2012-07,102.46
2012-08,103.03
2012-09,103.38
2012-10,103.31
2012-11,103.08
2012-12,103.38
2013-01,103.62
