date,value
2011-01,1020
2011-02,1020
2011-03,1020
2011-04,1020
2011-05,1020
2011-06,1020
2011-07,1020
2011-08,1020
2011-09,1020
2011-10,1020
2011-11,1020
2011-12,1020
2012-01,1214
2012-02,1214
2012-03,1214
2012-04,1214
2012-05,1214
2012-06,1214
2012-07,1214
2012-08,1214
2012-09,1214
2012-10,1214
2012-11,1214
2012-12,1214
2013-01,1379
2013-02,1379
2013-03,1379
2013-04,1379
2013-05,1379
2013-06,1379
2013-07,1379
2013-08,1379
2013-09,1379
2013-10,1379
2013-11,1379
2013-12,1379
2014-01,1735
2014-02,1735
2014-03,1735
2014-04,1735
2014-05,1735
2014-06,1735
2014-07,1735
2014-08,1735
2014-09,1735
2014-10,1735
2014-11,1735
2014-12,1735
2015-01,2392
2015-02,2392
2015-03,2392
2015-04,2392
2015-05,2392
2015-06,2392
2015-07,2392
2015-08,2392
2015-09,2392
2015-10,2392
2015-11,2392
2015-12,2392
2016-01,2699
2016-02,2699
2016-03,2699
2016-04,2699
2016-05,2699
2016-06,2699
2016-07,2699
2016-08,2699
2016-09,2699
2016-10,2699
2016-11,2699
2016-12,2699
2017-01,2836
2017-02,2836
2017-03,2836
2017-04,2836
2017-05,2836
2017-06,2836
2017-07,2836
2017-08,2836
2017-09,2836
2017-10,2836
2017-11,2836
2017-12,2836
2018-01,3155
2018-02,3155
2018-03,3155
2018-04,3155
2018-05,3155
2018-06,3155
2018-07,3155
2018-08,3155
2018-09,3155
2018-10,3155
2018-11,3155
2018-12,3155
2019-01,3400
2019-02,3400
2019-03,3400
2019-04,3400
2019-05,3400
2019-06,3400
2019-07,3400
2019-08,3400
2019-09,3400
2019-10,3400
2019-11,3400
2019-12,3400
2020-01,3981
2020-02,3981
2020-03,3981
2020-04,3981
2020-05,3981
2020-06,3981
2020-07,3981
2020-08,3981
2020-09,3981
2020-10,3981
2020-11,3981
2020-12,3981
2021-01,3981
2021-02,3920
2021-03,3920
2021-04,3920
2021-05,3920
2021-06,3920
2021-07,3920
2021-08,3945
2021-09,3945
2021-10,3945
2021-11,3945
2021-12,3945
2022-01,3945
2022-02,3945
2022-03,3945
2022-04,4327
2022-05,4327
2022-06,4327
2022-07,4327
2022-08,4327
2022-09,4327
2022-10,4327
2022-11,4327
2022-12,4327
2023-01,4800
2023-02,4800
2023-03,4800
2023-04,4800
2023-05,4800
2023-06,4800
2023-07,4800
2023-08,4800
2023-09,4800
2023-10,4800
2023-11,4800
2023-12,4800
2024-01,4838
2024-02,4838
2024-03,4838
2024-04,4838
2024-05,4838
2024-06,4838
2024-07,4838
2024-08,4838
2024-09,4838
2024-10,4838
2024-11,4838
2024-12,4838
2025-01,4838
2025-02,4838
2025-03,5096
2025-04,5096
2025-05,5096
2025-06,5096
2025-07,5096
2025-08,5096
2025-09,5096
2025-10,5096
2025-11,5096
2025-12,5096
2026-01,5096
2026-02,5096
2026-03,5096
2026-04,5096
